METAPHOR;;METAPHOR SOURCE ROLE;METAPHOR TARGET ROLES;;;
MetSource;MetTarget;SourceRole;TargetRoleGold;SameFrameDifferentAttribute;DiffFrameSameAtt;DiffFrameDiffAtt
ACTION;MOTION;actor;mover;redirecting;doctor;sparkle
ANALYZING;DISSECTING;analyzer;dissector;autopsy;chef;math
ANALYZING;DISSECTING;object_of_analysis;dissected_entity;scalpel;model;communication
ANALYZING;DISSECTING;analytic_conclusion;entity_in_pieces;lab;patchwork;gaming
ANALYZING;DISSECTING;analytic_method;dissection_tool;body;developer_tool;swimming_pool
ANGER;FIRE;anger;fire;hot;sadness;corn
ANGER;FIRE;experiencer;burning_object;lighter;patient;gymnast
ANGER;FIRE;cause_of_anger;cause_of_fire;smoke;cause_of_divorce;city
ANGER;FIRE;anger_level;fire_intensity;wood;flood_magnitude;unicorn
ANGER;FIRE;mind_condition;burning_object_condition;combustion;economic_condition;theater
ANGER;FIRE;other_people;nearby_objects;flammable;acquaintance;fat
ANGER;HEAT;anger_level;heat_level;boiling;difficulty_level;university
ANGER;INSANITY;experiencer;insane_person;hallucinating;student;splash
ANGER;INSANITY;anger;insanity;insane_person;friendliness;cow
ANGER;INSANITY;anger_level;agitation_level;manic;water_level;tooth
ANGER;INSANITY;anger_limit;agitation_limit;delusion;speed_limit;green
ANGER;INSANITY;angry_action;insane_behavior;asylum;heroic_act;feather
ANGER;INSANITY;cause_of_anger;cause_of_insanity;treatment;cause_of_bankruptcy;peanut_butter
ATTRIBUTES;POSSESSIONS;entity;posessor;possessive_person;criminal;canadian
ATTRIBUTES;POSSESSIONS;attribute;possession;owner;consequence;execute
BELIEFS;POSSESSIONS;belief;possession;purchase;enjoyment;definitive
BELIEFS;POSSESSIONS;believer;possessor;possessed_object;artisan;nectar
BELIEFS;POSSESSIONS;belief_relation_status;possess_relation_status;property;labour_relation_status;battery
BELIEFS;POSSESSIONS;belief_relation;possession_relation;lose_possession;contractual_relation;code
CHANGE;ACQUISITION;experiencer;recipient;earn;employee;bubble
CHANGE;ACQUISITION;final_state;possession;buying;landing;concert
CHANGE;LOSS;experiencer;donor;voluntary;thinker;blanket
CHANGE;LOSS;initial_state;possession;lost_entity;deaparture;basketball
COGNIZING;EATING;cognizer;eater;food;adventurer;candle
COMMUNICATING;GUIDING;communicator;leader;guiding_light;student;carrot
COMMUNICATING;GUIDING;addressee;follower;reference;designer;cherry
COMMUNICATING;SHOWING;communicator;shower;full_screen;chef;chocolate
COMMUNICATING;SHOWING;addressee;seer;gallery;client;cloud
COMMUNICATING;SHOWING;message;object_seen;exhibitionist;present;coffee
COMMUNICATING;SHOWING;communicator;perception_causer;binoculars;trigger;disco
CONSCIOUS;UP;conscious_entity;upright_entity;ascend;independent_entity;compass
CONSCIOUS;UP;state_of_consciousness;state_of_uprightness;ladder;state_of_emergency;computer
CONSCIOUSNESS;VERTICALITY;conscious_entity;upright_entity;elevator;political_entity;croissant
CONSCIOUSNESS;VERTICALITY;state_of_consciousness;state_of_uprightness;height;state_of_health;cyclone
CONTROL;UP;controlling_entity;higher_positioned_entity;vertigo;private_entity;daisy
CORPORATIONS;PEOPLE;corporation;person;young;plant;dance
CORPORATIONS;PEOPLE;rights_of_corporation;rights_of_person;inherit;rights_of_animal;deer
CORRUPTION;DECAY;corrupt_activities;decaying_process;decaying_entity;disintegration;diamond
CORRUPTION;DECAY;corruption_affectee;decayed_entity;constant;rotten_fruit;drum
CORRUPTION;DECAY;corrupting_effect;decaying_effect;decay_cause;putrefaction;duck
